Base game relic class names (Slay the Spire 2)
Use these exactly as written inside ModelDb.Relic<...>()

Akabeko				Girya				PollinousCore
AlchemicalCoffer		GlassEye			Pomander
AmethystAubergine		Glitter				PotionBelt
Anchor				GnarledHammer			PowerCell
ArcaneScroll			GoldPlatedCables		PrayerWheel
ArchaicTooth			GoldenCompass			PrecariousShears
ArtOfWar			GoldenPearl			PreciseScissors
Astrolabe			Gorget				PreservedFog
BagOfMarbles			GremlinHorn			PrismaticGem
BagOfPreparation		HandDrill			PumpkinCandle
BeatingRemnant			HappyFlower			PunchDagger
BeautifulBracelet		HeftyTablet			RadiantPearl
Bellows				HelicalDart			RainbowRing
BeltBuckle			HistoryCourse			RazorTooth
BigHat				HornCleat			RedMask
BigMushroom			IceCream			RedSkull
BiiigHug			InfusedCore			RegalPillow
BingBong			IntimidatingHelmet		Regalite
BlackBlood			IronClub			ReptileTrinket
BlackStar			IvoryTile			RingOfTheDrake
BlessedAntler			JeweledMask			RingOfTheSnake
BloodSoakedRose			JewelryBox			RingingTriangle
BloodVial			JossPaper			RippleBasin
BoneFlute			JuzuBracelet			RoyalPoison
BoneTea				Kaleidoscope			RoyalStamp
BookOfFiveRings			Kifuda				RuinedHelmet
BookRepairKnife			Kunai				RunicCapacitor
Bookmark			Kusarigama			RunicPyramid
BoomingConch			Lantern				Sai
BoundPhylactery			LargeCapsule			SandCastle
BowlerHat			LastingCandy			ScreamingFlagon
Bread				LavaLamp			ScrollBoxes
BrilliantScarf			LavaRock			SeaGlass
Brimstone			LeadPaperweight			SealOfGold
BronzeScales			LeafyPoultice			SelfFormingClay
BurningBlood			LeesWaffle			SereTalon
BurningSticks			LetterOpener			Shovel
Byrdpip				LizardTail			Shuriken
CallingBell			LoomingFruit			SignetRing
Candelabra			LordsParasol			SilkenTress
CaptainsWheel			LostCoffer			SilverCrucible
Cauldron			LostWisp			SlingOfCourage
CentennialPuzzle		LuckyFysh			SmallCapsule
Chandelier			LunarPastry			SneckoEye
CharonsAshes			Mango				SneckoSkull
ChemicalX			MassiveScroll			Sozu
ChoicesParadox			MawBank				SparklingRouge
ChosenCheese			MealTicket			SpikedGauntlets
Circlet				MeatCleaver			StoneCalendar
Claws				MeatOnTheBone			StoneCracker
CloakClasp			MembershipCard			StoneHumidifier
CrackedCore			MercuryHourglass		Storybook
Crossbow			Metronome			Strawberry
CursedPearl			MiniRegent			StrikeDummy
DarkstonePeriapt		MiniatureCannon			SturdyClamp
DataDisk			MiniatureTent			SwordOfJade
DaughterOfTheWind		MoltenEgg			SwordOfStone
DelicateFrond			MrStruggles			SymbioticVirus
DemonTongue			MummifiedHand			TanxsWhistle
DeprecatedRelic			MusicBox			TeaOfDiscourtesy
DiamondDiadem			MysticLighter			TheAbacus
DingyRug			NeowsBones			TheBoot
DistinguishedCape		NeowsTalisman			TheCourier
DivineDestiny			NeowsTorment			ThrowingAxe
DivineRight			NewLeaf				Tingsha
DollysMirror			NinjaScroll			TinyMailbox
DragonFruit			Nunchaku			ToastyMittens
DreamCatcher			NutritiousOyster		Toolbox
Driftwood			NutritiousSoup			TouchOfOrobas
DustyTome			OddlySmoothStone		ToughBandages
Ectoplasm			OldCoin				ToxicEgg
ElectricShrymp			OrangeDough			ToyBox
EmberTea			Orichalcum			TriBoomerang
EmotionChip			OrnamentalFan			TungstenRod
EmptyCage			Orrery				TuningFork
EternalFeather			PaelsBlood			TwistedFunnel
FakeAnchor			PaelsClaw			UnceasingTop
FakeBloodVial			PaelsEye			UndyingSigil
FakeHappyFlower			PaelsFlesh			UnsettlingLamp
FakeLeesWaffle			PaelsGrowth			Vajra
FakeMango			PaelsHorn			VakuuCardSelector
FakeMerchantsRug		PaelsLegion			Vambrace
FakeOrichalcum			PaelsTears			VelvetChoker
FakeSneckoEye			PaelsTooth			VenerableTeaSet
FakeStrikeDummy			PaelsWing			VeryHotCocoa
FakeVenerableTeaSet		PandorasBox			VexingPuzzlebox
FencingManual			Pantograph			VitruvianMinion
FestivePopper			PaperKrane			WarHammer
Fiddle				PaperPhrog			WarPaint
FishingRod			ParryingShield			Whetstone
ForgottenSoul			Pear				WhisperingEarring
FragrantMushroom		PenNib				WhiteBeastStatue
FresnelLens			Pendulum			WhiteStar
FrozenEgg			Permafrost			WingCharm
FuneraryMask			PetrifiedToad			WingedBoots
FurCoat				PhialHolster			WongoCustomerAppreciationBadge
GalacticDust			PhilosophersStone		WongosMysteryTicket
GamblingChip			PhylacteryUnbound		YummyCookie
GamePiece			Planisphere
GhostSeed			Pocketwatch
